URL,Final URL,Redirected,Status,Template,Blocks,Integrations,Complexity,Migration Method
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fdental-hygiene%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fdental-hygiene%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fdental-lab%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fdental-lab%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fendodontics%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fendodontics%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fimplant-dentistry%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fimplant-dentistry%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Finfection-control%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Finfection-control%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Finstruments%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Finstruments%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Forthodontics%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Forthodontics%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Frestorative%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Frestorative%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fx-ray-devices%26sort%3Ddesc,https://www.dentsplysirona.com/en/academy/product-training/videos.html?videofilter=Product-Training%3Dacademy%253Alearning-area%252Fproduct-training%252Fx-ray-devices%26sort%3Ddesc,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/research-and-articles.html,https://www.dentsplysirona.com/en/academy/research-and-articles.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/research-and-articles/atlantis-case-study-review.html,https://www.dentsplysirona.com/en/academy/research-and-articles/atlantis-case-study-review.html,no,200,Academy — Study,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/academy/videos.html,https://www.dentsplysirona.com/en/academy/videos.html,no,200,Discover Hub / Homepage,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Medium,Semi-Automated
https://www.dentsplysirona.com/en/all-countries.html,https://www.dentsplysirona.com/en/all-countries/view-all-country-websites.html,yes,200,Basic Content Page,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/all-countries/view-all-country-websites.html,https://www.dentsplysirona.com/en/all-countries/view-all-country-websites.html,no,200,Basic Content Page,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/archived-pages/ds-world/ds-world-events.html,https://www.dentsplysirona.com/en/archived-pages/ds-world/ds-world-events.html,no,404,(unavailable),—,,N/A,Excluded
https://www.dentsplysirona.com/en/company.html,https://www.dentsplysirona.com/en/why-ds/our-company/sustainability.html,yes,200,Explore / Category Landing,"Hero, Teaser, Step, Cards, Banner, Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/company/careers.html,https://www.dentsplysirona.com/en/company/careers.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/careers/early-careers.html,https://www.dentsplysirona.com/en/company/careers/early-careers.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/careers/locations.html,https://www.dentsplysirona.com/en/company/careers/locations.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/careers/our-teams.html,https://www.dentsplysirona.com/en/company/careers/our-teams.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
